T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
22.2,28.8,17.1,-,68,6.3,0.4,3.5,223.375
nan,nan,nan,nan,nan,nan,nan,nan,187.54166666666663
nan,nan,nan,nan,nan,nan,nan,nan,198.45833333333331
nan,nan,nan,nan,nan,nan,nan,nan,156.70833333333334
21.2,26.7,18,-,68,6.9,2.4,5.4,135.58333333333334
21.4,27.4,15.8,-,64,6.3,1.1,5.4,152.04166666666666
21.7,29.2,16.5,-,60,8.2,1.9,3.5,141.41666666666666
nan,nan,nan,nan,nan,nan,nan,nan,248.625
nan,nan,nan,nan,nan,nan,nan,nan,162.54166666666666
nan,nan,nan,nan,nan,nan,nan,nan,0.0
22.3,28.2,16.6,-,50,6.6,1.9,5.4,46.70833333333334
21.3,28.2,17,-,60,6.9,0.9,3.5,91.75
21.1,29,15.3,-,55,8,0.4,3.5,99.91666666666669
nan,nan,nan,nan,nan,nan,nan,nan,113.375
nan,nan,nan,nan,nan,nan,nan,nan,166.70833333333334
nan,nan,nan,nan,nan,nan,nan,nan,146.66666666666666
21.9,28.6,17.6,-,72,6.3,3,9.4,119.70833333333331
22.8,29.2,18.4,-,77,6.3,1.9,3.5,110.875
23.3,29.3,19.8,-,74,5.6,2.8,3.5,200.33333333333331
nan,nan,nan,nan,nan,nan,nan,nan,161.79166666666666
nan,nan,nan,nan,nan,nan,nan,nan,169.04166666666666
nan,nan,nan,nan,nan,nan,nan,nan,216.79166666666663
21.6,26.6,18.2,-,76,6.3,2.4,5.4,203.58333333333331
21.6,26.4,19.6,-,83,6.9,1.3,3.5,25.08333333333333
23.1,28.8,19.1,-,74,6.9,2.8,3.5,57.08333333333334
nan,nan,nan,nan,nan,nan,nan,nan,152.83333333333334
nan,nan,nan,nan,nan,nan,nan,nan,177.70833333333337
nan,nan,nan,nan,nan,nan,nan,nan,239.04166666666663
21.1,25.2,18.8,-,78,5.5,3.1,3.5,349.29166666666674
21.4,28,17.6,-,71,6.3,1.9,5.4,188.04166666666663
21.1,28.3,17.1,-,74,7.7,0.9,3.5,310.25
nan,nan,nan,nan,nan,nan,nan,nan,375.79166666666674
nan,nan,nan,nan,nan,nan,nan,nan,297.7916666666667
nan,nan,nan,nan,nan,nan,nan,nan,441.79166666666674
20,28.4,15.8,-,65,6.3,1.9,3.5,204.375
20.1,27.3,14.2,-,56,9.2,1.3,3.5,223.25
20.8,27.4,13.9,-,58,7.7,2,5.4,248.95833333333331
nan,nan,nan,nan,nan,nan,nan,nan,441.41666666666674
